ID Book,Title,Author,Printing Place,Printing Year,Pub. Place,Pub. Date,Pages,OCLC ID,ULI Entry,Source,Go to External Site,Catalog Information,Content,MARC record,Tags
10727,סדר ההגדה לליל שמורים עם תרגום אשכנזי,"הידנהים, בנימין וולף בן שמשון, 1757-1832",רדלהיים,תרכז,?,1867,63,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=32952,,,,הגדה של פסח
10728,סדר ההגדה של פסח,"בלאך, שלמה בן אפרים, הלוי, 1780-1858",הנובר,תרכח,,1868,54,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=32953,,,,הגדה של פסח
10729,"הגדה של פסח גבורות ה', עוללות אפרים וכל בו","רש""י, רשב""ם, ריטב""א",ווילנא,תרכח,Vilna,1868,83,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=32955,,,,הגדה של פסח
10730,סדר הגדה של פסח בית לוי ומטה לוי,,וינה,תרכח,Vienna,1868,33,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=32956,,,,הגדה של פסח
10731,הגדה של פסח עם תרגום אשכנזי,,נ.י.,תרכח,?,1868,72,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=32957,"סטנוב, יצחק, -- 1732-1804",,,הגדה של פסח
10732,"מעלה בית חורין הגדה של פסח גבורות ה', עוללות אפרים ואמת ליעקב",,בודפשט,תרכח,,1868,111,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=32958,,,,הגדה של פסח
10733,הגדה של פסח עם תרגום אשכנזי,,וינה,תרכט,Vienna,1869,62,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=32959,,,,הגדה של פסח
10734,סדר הגדה של פסח גבורות ישראל מגיד משה מטה משה מאמר יהונתן,,לבוב,תרכט,Lvov,1869,56,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=32960,,,,הגדה של פסח
10735,סדר הגדה של פסח עם פירוש החתם סופר,"סופר, משה בן שמואל, 1762-1839",לבוב,תרכט 1868,Lvov,,30,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=32961,,,,הגדה של פסח
10736,הגדה וסדר של פסח עם תרגום אנגלי,,נ.י.,תרכט,?,1869,61,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=32962,,,,הגדה של פסח
